LOBECTOMIA HEPTICA,,,,,HCO,HSO,REF,,,FGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PAPILOTOMIA TRANSDUODENAL,,,,,HCO,HSO,REF,,,FGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PUNO HEPTICA PARA DRENAGEM DE ABSCESSOS,,,,,HCO,HSO,REF,,,FGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PUNO HEPTICA PARA DRENAGEM DE ABSCESSOS POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,FGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
CISTO DE COLDOCO - TRATAMENTO CIRRGICO,,,,,HCO,HSO,REF,,,FGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"ABLAO POR RADIOFREQUNCIA/CRIOABLAO PERCUTNEA DO CNCER PRIMRIO HEPTICO GUIADA
POR ULTRASSONOGRAFIA E/OU TOMOGRAFIA COMPUTADORIZADA (COM DIRETRIZ DE UTILIZAO)",,,,,HCO,HSO,REF,,1,FGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"ABLAO POR RADIOFREQUNCIA/CRIOABLAO DO CNCER PRIMRIO HEPTICO POR LAPAROTOMIA
(COM DIRETRIZ DE UTILIZAO)",,,,,HCO,HSO,REF,,1,FGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"ABLAO POR RADIOFREQUNCIA/CRIOABLAO DO CNCER PRIMRIO HEPTICO POR
VIDEOLAPAROSCOPIA (COM DIRETRIZ DE UTILIZAO)",,,,,HCO,HSO,REF,,1,FGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
"ABLAO PERCUTNEA POR RADIOFREQUNCIA OU MICROONDAS DE METSTASES HEPTICAS DE CNCER
COLORRETAL GUIADA POR ULTRASSONOGRAFIA E/OU TOMOGRAFIA COMPUTADORIZADA (COM DIRETRIZ DE
UTILIZAO)","604/2023
610/2024","07/05/2024
01/08/2024",,,HCO,HSO,REF,,164,FGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"ABLAO PERCUTNEA POR RADIOFREQUNCIA OU MICROONDAS DE METSTASES HEPTICAS DE CNCER
COLORRETAL POR LAPAROTOMIA (COM DIRETRIZ DE UTILIZAO)","604/2023
610/2024","07/05/2024
01/08/2024",,,HCO,HSO,REF,,164,FGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"ABLAO PERCUTNEA POR RADIOFREQUNCIA OU MICROONDAS DE METSTASES HEPTICAS DE CNCER
COLORRETAL POR VIDEOLAPAROSCOPIA (COM DIRETRIZ DE UTILIZAO)","604/2023
610/2024","07/05/2024
01/08/2024",,,HCO,HSO,REF,,164,FGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RESSECO DE CISTO HEPTICO COM OU SEM HEPATECTOMIA,,,,,HCO,HSO,REF,,,FGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RESSECO DE CISTO HEPTICO COM OU SEM HEPATECTOMIA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,FGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RESSECO DE TUMOR DE VESCULA OU DA VIA BILIAR COM OU SEM HEPATECTOMIA,,,,,HCO,HSO,REF,,,FGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
SEGMENTECTOMIA HEPTICA,,,,,HCO,HSO,REF,,,FGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
SEQUESTRECTOMIA HEPTICA,,,,,HCO,HSO,REF,,,FGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO CIRRGICO DE ESTENOSE CICATRICIAL DAS VIAS BILIARES,,,,,HCO,HSO,REF,,,FGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRISSEGMENTECTOMIAS,,,,,HCO,HSO,REF,,,FGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
BIPSIA DE PNCREAS,,,,,HCO,HSO,REF,,,PNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
BIPSIA DE PNCREAS POR PUNO DIRIGIDA,,,,,HCO,HSO,REF,,,PNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ENUCLEAO DE TUMORES PANCRETICOS,,,,,HCO,HSO,REF,,,PNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ENUCLEAO DE TUMORES PANCRETICOS POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,PNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PANCREATECTOMIA PARCIAL OU TOTAL / SEQUESTRECTOMIA,,,,,HCO,HSO,REF,,,PNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PANCREATECTOMIA CORPO CAUDAL COM PRESERVAO DO BAO,,,,,HCO,HSO,REF,,,PNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PANCREATO-DUODENECTOMIA COM LINFADENECTOMIA,,,,,HCO,HSO,REF,,,PNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PANCREATO-ENTEROSTOMIA,,,,,HCO,HSO,REF,,,PNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PANCREATORRAFIA,,,,,HCO,HSO,REF,,,PNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
PSEUDOCISTO PNCREAS - DRENAGEM,,,,,HCO,HSO,REF,,,PNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PSEUDOCISTO PNCREAS - DRENAGEM POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,PNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
BIPSIA ESPLNICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,BAO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ESPLENECTOMIA TOTAL OU PARCIAL,,,,,HCO,HSO,REF,,,BAO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ESPLENECTOMIA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,BAO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ESPLENORRAFIA,,,,,HCO,HSO,REF,,,BAO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
DILISE PERITONEAL,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,PERITNIO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
DILISE PERITONEAL AMBULATORIAL CONTNUA (CAPD),,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,PERITNIO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
DILISE PERITONEAL AMBULATORIAL CONTNUA (CAPD) - TREINAMENTO,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,PERITNIO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
DILISE PERITONEAL AUTOMTICA (DPA),600/2024,01/04/2024,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,PERITNIO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
EPIPLOPLASTIA,,,,,HCO,HSO,REF,,,PERITNIO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
IMPLANTE OU RETIRADA DE CATETER PERITONEAL (TENCKHOFF OU OUTROS),,,,,HCO,HSO,REF,PAC,,PERITNIO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
OMENTECTOMIA,,,,,HCO,HSO,REF,,,PERITNIO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
OMENTECTOMIA LAPAROSCPICA,,,,,HCO,HSO,REF,,,PERITNIO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
BIPSIA DE PAREDE ABDOMINAL,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
CISTO SACRO-COCCGEO - TRATAMENTO CIRRGICO,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
DISTASE DOS RETOS-ABDOMINAIS - TRATAMENTO CIRRGICO,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
HRNIA - TRATAMENTO CIRRGICO,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
HERNIORRAFIA COM OU SEM RESSECO INTESTINAL,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
HERNIORRAFIA COM OU SEM RESSECO INTESTINAL POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
HERNIORRAFIA CRURAL,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
HERNIORRAFIA CRURAL POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
HERNIORRAFIA EPIGSTRICA,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
HERNIORRAFIA INCISIONAL,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
HERNIORRAFIA INGUINAL,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
HERNIORRAFIA INGUINAL POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
HERNIORRAFIA INGUINAL NO RN OU LACTENTE,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
HERNIORRAFIA LOMBAR,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
HERNIORRAFIA RECIDIVANTE,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
HERNIORRAFIA RECIDIVANTE POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
HERNIORRAFIA UMBILICAL,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"LAPAROTOMIA EXPLORADORA PARA BIPSIA, DRENAGEM DE ABSCESSO OU LIBERAO DE BRIDAS EM
VIGNCIA DE OCLUSO",,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
NEUROBLASTOMA ABDOMINAL - EXRESE,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ONFALOCELE/GASTROSQUISE - TRATAMENTO CIRRGICO,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PARACENTESE ABDOMINAL,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PARACENTESE ABDOMINAL LAPAROSCPICA,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RECONSTRUO DA PAREDE ABDOMINAL COM RETALHO MUSCULAR OU MIOCUTNEO,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
REPARAO DE OUTRAS HRNIAS (INCLUI HERNIORRAFIA MUSCULAR),,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
RESSECO DE CISTO OU FSTULA DE RACO,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RESSECO DE CISTO OU FSTULA OU RESTOS DO DUCTO ONFALOMESENTRICO,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
RESSUTURA DA PAREDE ABDOMINAL (POR DEISCNCIA TOTAL OU EVISCERAO),,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TERATOMA SACRO-COCCGEO - EXRESE,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"VIDEOLAPAROSCOPIA PARA DIAGNSTICO COM OU SEM BIPSIAS E PARA OS PROCEDIMENTOS DE
DRENAGEM DE COLEES, LIBERAO DE BRIDAS/ADERNCIAS E/OU RAFIAS",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ABSCESSO RENAL OU PERI-RENAL - DRENAGEM PERCUTNEA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ABSCESSO RENAL OU PERI-RENAL DRENAGEM CIRRGICA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ADRENALECTOMIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ADRENALECTOMIA LAPAROSCPICA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ANGIOPLASTIA RENAL,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ANGIOPLASTIA RENAL TRANSLUMINAL,,,,,HCO,HSO,REF,PAC,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
AUTOTRANSPLANTE RENAL,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
BIPSIA RENAL CIRRGICA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
CISTO RENAL - ESCLEROTERAPIA PERCUTNEA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ENDOPIELOTOMIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
ESTENOSE DE JUNO PIELOURETERAL - TRATAMENTO CIRRGICO,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
FSTULA PIELO-CUTNEA - TRATAMENTO CIRRGICO,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
LOMBOTOMIA EXPLORADORA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
MARSUPIALIZAO DE CISTOS RENAIS,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
NEFRECTOMIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
NEFRECTOMIA LAPAROSCPICA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
NEFRECTOMIA COM URETERECTOMIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
NEFRO OU PIELOENTEROCISTOSTOMIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"NEFROLITOTOMIA SIMPLES, ANATRFICA OU PERCUTNEA",,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
NEFROLITOTRIPSIA EXTRACORPREA,,,,,HCO,HSO,REF,PAC,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
"NEFROLITOTRIPSIA PERCUTÂNEA (PNEUMÁTICA OU PNEUMÁTICO-BALÍSTICA – MEC; ELETROHIDRÁULICA -
E.H.; OU ULTRASSOM - U.S.)",,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
NEFROLITOTRIPSIA PERCUTNEA A LASER,,,,,HCO,HSO,REF,PAC,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
NEFROPEXIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
NEFROPEXIA LAPAROSCPICA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
NEFRORRAFIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
NEFROSTOMIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
NEFROSTOMIA PERCUTNEA,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
NEFROURETERECTOMIA COM RESSECO VESICAL,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
NEFROURETERECTOMIA COM RESSECO VESICAL LAPAROSCPICA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PIELOLITOTOMIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PIELOLITOTOMIA LAPAROSCPICA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PIELOLITOTOMIA COM NEFROLITOTOMIA SIMPLES OU ANATRFICA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PIELOPLASTIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
PIELOPLASTIA LAPAROSCPICA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PIELOSTOMIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PIELOTOMIA EXPLORADORA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PUNO ASPIRATIVA RENAL PARA DIAGNSTICO DE REJEIO,,,,,HCO,HSO,REF,PAC,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
PUNO BIPSIA RENAL PERCUTNEA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
REVASCULARIZAO RENAL,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
SINFISIOTOMIA (RIM EM FERRADURA),,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRANSURETERO ANASTOMOSE,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TRATAMENTO CIRRGICO DA FSTULA PIELO-INTESTINAL,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TUMOR RENAL - ENUCLEAO,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TUMOR WILMS - TRATAMENTO CIRRGICO,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
TUMORES RETRO-PERITONEAIS - EXRESE,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
BIPSIA CIRRGICA DE URETER,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
BIPSIA ENDOSCPICA DE URETER,,,,Seg. Ambulatorial,HCO,HSO,REF,,,URETER,SISTEMA URINRIO,PROCEDIMENTOS CIRRGICOS E INVASIVOS
